idx,direction,label,fvg_present,fvg_size_atr,fvg_distance,fvg_mitigated,ob_present,ob_size_atr,ob_distance,ob_vol_ratio,bos_count,choch_count,swing_count,trend_align,nearby_liq_count,body_ratio,vol_ratio,upper_wick_atr,lower_wick_atr,candle_align,dist_to_high_atr,dist_to_low_atr,atr_val
958,-1,0,1,0.0006094906399563015,0.0,1,1,3.692902200333761,28.16,4.062291309602826,2,1,6,0,26,0.43792237882914803,0.3734788050926307,0.11356842258017977,0.4778406617327027,1,1.9808445798868046,7.434160499201851,492.21428571428675
979,1,1,1,0.5159811101225332,0.0,1,1,1.6950280396619046,0.32,0.9326462512065982,5,1,6,1,26,0.5257080010853493,2.2394620976236626,0.6649784409007076,0.16145369926766168,1,3.4451440695366906,12.615426733283174,208.7285714285707
1004,-1,0,1,0.35521517140773595,0.0,1,1,6.629099995441266,30.0,4.062291309602826,2,1,6,0,26,0.6360106770047237,1.0246446002256542,0.3559445660102053,0.19110138584972297,1,2.1145149525893556,4.317286652078748,274.2000000000007
1010,-1,0,1,0.3249820402298895,0.0,1,1,5.712955518700609,30.24,4.062291309602826,2,1,6,0,26,0.6172885112556766,1.384645593751632,0.19706357758622053,0.454157686781609,1,2.2016433189655165,4.114448635057465,318.1714285714287
1046,-1,0,1,0.3939410981759511,0.0,1,1,4.7705957787338455,31.68,4.062291309602826,2,1,6,1,26,0.6331050228262333,5.12200039273392,0.3330521343006612,0.9322310331252367,1,4.5078829462160055,2.648669928575433,381.0214285714293
1050,1,1,1,0.030017733354834843,0.0,1,1,1.3654683217797825,0.04,1.4276282923105692,6,1,6,0,26,0.5917173081118221,1.039042165354731,0.36608092858295316,0.04333387070771545,1,2.96047073996454,3.193841689505071,443.07142857142907
4474,1,0,1,0.2471361502347434,0.0,1,1,0.6117732033224994,137.0,1.4276282923105692,16,7,6,0,26,0.4745447019818423,1.0809521255973265,0.3896135789093567,0.12387143373058873,1,6.091238714337313,1.6522932466594447,988.9285714285709
5221,1,0,1,0.19794590548574298,0.0,1,1,0.30480344316333435,166.88,1.4276282923105692,21,7,6,0,26,0.7168515229678083,1.9270567709703608,0.3158368239985037,0.10988038174202111,1,5.15813073080854,1.5314231837745231,1984.8857142857144
5222,1,0,1,0.4703857768028848,0.0,1,1,0.30557650055378976,166.92,1.4276282923105692,21,7,6,0,26,0.8184368425122039,1.7328166975748924,0.23294525959571397,0.0024244085994328214,1,4.110231220754668,2.5962890674324735,1979.8642857142856
5228,1,0,1,0.4029426473297705,0.0,1,1,0.3715596732731469,167.16,1.4276282923105692,21,7,6,1,26,0.9735477727121622,0.4270583372112762,0.008966564016177526,0.006387141490977303,1,4.12652330692496,3.3670062028970262,1628.2714285714283
5232,1,0,1,0.21813886933018375,0.0,1,1,0.38476389488268564,167.32,1.4276282923105692,21,7,6,1,26,0.9372255955117358,0.6910048122196747,0.0357417039543944,0.049733118313760157,1,3.2303631862266347,4.529466009494173,1572.392857142857
5246,1,0,1,0.3688783785008235,0.0,1,1,0.7674395426169051,167.88,1.4276282923105692,21,7,6,1,26,0.6175121424675024,2.6983963660929637,0.6385604392617374,0.08067628910815546,1,6.30315221035273,9.142805367546453,788.3357142857146
5248,1,0,1,0.061732283464566884,0.0,1,1,0.7622047244094483,167.96,1.4276282923105692,21,7,6,1,26,0.5558530417885422,1.2039046322255336,0.16844094488189515,0.2077480314960647,1,5.179464566929136,9.896944881889754,793.7500000000006
5257,1,0,1,0.12425124682247361,0.0,1,1,0.7450149090941075,168.32,1.4276282923105692,21,7,6,1,26,0.5502373099465034,1.0135834267466086,0.07979663819719064,0.6086956521739076,1,2.222237859423522,9.909560291672893,812.0642857142858
6056,1,1,1,0.20060615842614304,0.0,1,1,1.0103079437241045,0.64,1.5972438491702918,24,7,6,1,26,0.738201950942831,1.2247321212348434,0.20336794533813882,0.04594609135417941,1,0.3324187155897515,4.073635695199139,398.2928571428586
6111,1,1,1,1.1204786510742446,0.0,1,1,0.8789788437131715,0.04,2.298316982868249,25,7,6,0,26,0.6302052030511719,2.3421436041805386,0.559514096636748,0.2213761218384525,1,2.6780890218475166,3.4830931012600805,551.5500000000003
6242,1,1,1,0.0978821335974597,0.0,1,1,1.638912381288781,0.36,1.7368243774785979,25,8,6,0,26,0.578278900969969,0.625572270655972,0.21228187723948777,0.11949777143357726,1,4.648381740321029,1.3124362746526026,490.3857142857144
6244,1,1,1,0.18237008256434797,0.0,1,1,1.9516736735065552,0.44,1.7368243774785979,25,8,6,0,26,0.5744949494768099,0.42191313924639184,0.22486644001944087,0.10247693054880296,1,5.226323457989322,1.8720252549781293,411.8000000000003
6245,1,1,1,0.26148266160468425,0.0,1,1,1.9070182472628032,0.48,1.7368243774785979,25,8,6,0,26,0.6960854092402909,1.0080071654322542,0.3644622216196024,0.04081217585843854,1,4.178502423646653,2.757431951459267,421.44285714285746
6601,1,0,1,0.2739144972534075,0.0,1,1,1.0749261105803687,14.72,1.7368243774785979,27,9,6,0,26,0.9076981274653435,0.39471027578511403,0.004012419393360404,0.06125626940529633,1,5.628086935753527,1.8307332218772443,747.6785714285709
6602,1,0,1,0.1706851299611463,0.0,1,1,1.0584838395217364,14.76,1.7368243774785979,27,9,6,0,26,0.651315789457212,0.4540946826364895,0.060187580549567715,0.12129707152331405,1,5.050093602129805,2.141597915353581,759.2928571428565
